"county_names","week_end","pcr_target","wval_county_wk","wval_county_wk_level"
15001,2023-11-25,"fluav",13.8297620402164,"High"
15001,2023-12-02,"fluav",1,"Very Low"
15001,2023-12-09,"fluav",1,"Very Low"
15001,2023-12-16,"fluav",1,"Very Low"
15001,2023-12-23,"fluav",5.1905913057809,"Low"
15001,2023-12-30,"fluav",9.41981953665573,"Moderate"
15001,2024-01-06,"fluav",8.45442337505759,"Moderate"
15001,2024-01-13,"fluav",3.56192147113048,"Low"
15001,2024-01-20,"fluav",11.3292289117117,"High"
15001,2024-01-27,"fluav",10.3291354018693,"Moderate"
15001,2024-02-03,"fluav",5.5166291007995,"Low"
15001,2024-02-10,"fluav",1,"Very Low"
15001,2024-02-17,"fluav",3.31679939700468,"Low"
15001,2024-02-24,"fluav",1,"Very Low"
15001,2024-03-02,"fluav",1,"Very Low"
15001,2024-03-09,"fluav",56.5732430894839,"Very High"
15001,2024-03-16,"fluav",4.77789671134041,"Low"
15001,2024-03-23,"fluav",2.7284803538209,"Low"
15001,2024-03-30,"fluav",1,"Very Low"
15001,2024-04-06,"fluav",1,"Very Low"
15001,2024-04-13,"fluav",1,"Very Low"
15001,2024-04-20,"fluav",4.75365870190496,"Low"
15001,2024-04-27,"fluav",1,"Very Low"
15001,2024-05-04,"fluav",3.53479540810934,"Low"
15001,2024-06-01,"fluav",2.86139405467108,"Low"
15001,2024-06-08,"fluav",1,"Very Low"
15001,2024-06-15,"fluav",3.94805982119152,"Low"
15001,2024-06-22,"fluav",1,"Very Low"
15001,2024-06-29,"fluav",2.16326070525566,"Very Low"
15001,2024-07-06,"fluav",1,"Very Low"
15001,2024-07-13,"fluav",4.20780875099177,"Low"
15001,2024-07-20,"fluav",4.87085773960639,"Low"
15001,2024-07-27,"fluav",1,"Very Low"
15001,2024-08-03,"fluav",4.99354604639104,"Low"
15001,2024-08-10,"fluav",1,"Very Low"
15001,2024-08-17,"fluav",1,"Very Low"
15001,2024-08-24,"fluav",1,"Very Low"
15001,2024-08-31,"fluav",1,"Very Low"
15001,2024-09-07,"fluav",1,"Very Low"
15001,2024-09-14,"fluav",1,"Very Low"
15001,2024-09-21,"fluav",1,"Very Low"
15001,2024-09-28,"fluav",1,"Very Low"
15001,2024-10-05,"fluav",1,"Very Low"
15001,2024-10-12,"fluav",1,"Very Low"
15001,2024-10-19,"fluav",1,"Very Low"
15001,2024-10-26,"fluav",1,"Very Low"
15001,2024-11-02,"fluav",1,"Very Low"
15001,2024-11-09,"fluav",1,"Very Low"
15001,2024-11-16,"fluav",11.9372709413748,"High"
15001,2024-11-23,"fluav",2.24263205217568,"Very Low"
15001,2024-11-30,"fluav",4.89625876218505,"Low"
15001,2024-12-07,"fluav",4.9130974227275,"Low"
15001,2024-12-14,"fluav",54.7138872190919,"Very High"
15001,2024-12-21,"fluav",43.1965769817602,"Very High"
15001,2024-12-28,"fluav",36.3171098200692,"Very High"
15001,2025-01-04,"fluav",71.3405607204666,"Very High"
15001,2025-01-11,"fluav",9.78151509981594,"Moderate"
15001,2025-01-18,"fluav",10.3507693832074,"Moderate"
15001,2025-01-25,"fluav",6.80282463000741,"Moderate"
15001,2025-02-01,"fluav",4.57624289130266,"Low"
15001,2025-02-08,"fluav",9.20923807874701,"Moderate"
15001,2025-02-15,"fluav",6.49135762343869,"Moderate"
15001,2025-02-22,"fluav",10.9489005498781,"Moderate"
15001,2025-03-01,"fluav",7.48822484048948,"Moderate"
15001,2025-03-08,"fluav",1,"Very Low"
15001,2025-03-15,"fluav",1,"Very Low"
15001,2025-03-22,"fluav",2.75585002565457,"Low"
15001,2025-03-29,"fluav",7.55802007411542,"Moderate"
15001,2025-04-05,"fluav",1,"Very Low"
