"site_id_with_pcr","week_end","site_id","mean_pcr_target_flowpop_lin","all_pcr_target_flowpop_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15001-003-01-00-00_rsv",2023-11-25,"15001-003-01-00-00",477552.433730676,"261230.21715127, 693874.650310082",2.53842730886521,"2023-11-22, 2023-11-20",0,13.4500466040256,12.4731573555711,0.695133664684149,NA,"yes","rsv","1, 4.07685461773042","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-02,"15001-003-01-00-00",693955.229517878,"261230.21715127, 1126680.24188449",4.59395406416244,"2023-11-29, 2023-11-27",7,12.4731573555711,12.4731573555711,0.695133664684149,0.744495722834164,"yes","rsv","1, 8.18790812832488","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-09,"15001-003-01-00-00",628397.168992181,"261230.21715127, 995564.120833092",3.92646582382079,"2023-12-06, 2023-12-04",14,12.4731573555711,12.4731573555711,0.695133664684149,0.712107719073892,"yes","rsv","1, 6.85293164764157","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-16,"15001-003-01-00-00",1363521.63103083,"2196328.24292388, 530715.019137775",12.0811557338978,"2023-12-13, 2023-12-11",21,12.4731573555711,12.4731573555711,0.695133664684149,0.646680696946677,"no","rsv","21.3899672200134, 2.77234424778222","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_rsv",2023-12-23,"15001-003-01-00-00",697851.847978391,"261230.21715127, 1134473.47880551",4.63475303749473,"2023-12-20, 2023-12-18",28,12.4731573555711,12.4731573555711,0.695133664684149,0.775694890846699,"yes","rsv","1, 8.26950607498946","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-30,"15001-003-01-00-00",986101.786496168,"1385005.24377217, 587198.329220162",7.11275888663569,"2023-12-27, 2023-12-26",36,12.4731573555711,12.4731573555711,0.695133664684149,0.744281545073334,"no","rsv","11.0189960367062, 3.20652173656521","CDC_VERILY",15001,"Moderate"
"15001-003-01-00-00_rsv",2024-01-06,"15001-003-01-00-00",2018087.98535656,"2270832.00330562, 1765343.9674075",19.0317327223216,"2024-01-03, 2024-01-02",43,12.4731573555711,12.4731573555711,0.695133664684149,0.774455892863494,"no","rsv","22.4414961980395, 15.6219692466037","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_rsv",2024-01-13,"15001-003-01-00-00",452539.140769786,"643848.064388301, 261230.21715127",2.33039594278134,"2024-01-10, 2024-01-08",49,12.4731573555711,12.4731573555711,0.695133664684149,0.82640958476073,"no","rsv","3.66079188556268, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-01-20,"15001-003-01-00-00",528961.071751751,"796691.926352232, 261230.21715127",2.98669819286485,"2024-01-17, 2024-01-16",57,12.4731573555711,12.4731573555711,0.695133664684149,0.808308865743174,"no","rsv","4.9733963857297, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-01-27,"15001-003-01-00-00",523983.685473436,"261230.21715127, 786737.153795603",2.94212217438294,"2024-01-24, 2024-01-22",63,12.4731573555711,12.4731573555711,0.695133664684149,0.764557083050994,"yes","rsv","1, 4.88424434876589","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-02-03,"15001-003-01-00-00",644703.214417771,"261230.21715127, 1028176.21168427",4.08908705017573,"2024-01-31, 2024-01-29",70,12.4731573555711,12.4731573555711,0.695133664684149,0.760690277084757,"yes","rsv","1, 7.17817410035146","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-02-10,"15001-003-01-00-00",663618.589362627,"1066006.96157399, 261230.21715127",4.28058295052762,"2024-02-07, 2024-02-05",77,12.4731573555711,12.4731573555711,0.695133664684149,0.771285079295129,"no","rsv","7.56116590105524, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-02-17,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-02-14, 2024-02-12",84,12.4731573555711,12.4731573555711,0.695133664684149,0.766661652858428,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-02-24,"15001-003-01-00-00",1886489.05215497,"1723032.285389, 2049945.81892093",17.2278249083602,"2024-02-21, 2024-02-20",92,12.4731573555711,12.4731573555711,0.695133664684149,0.79201352027054,"no","rsv","15.086173307557, 19.3694765091633","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_rsv",2024-03-02,"15001-003-01-00-00",562551.864235612,"863873.511319953, 261230.21715127",3.29384885352348,"2024-02-28, 2024-02-26",98,12.4731573555711,12.4731573555711,0.695133664684149,0.804227288880362,"no","rsv","5.58769770704695, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-03-09,"15001-003-01-00-00",261230.21715127,"261230.21715127",1,"2024-03-04",105,12.4731573555711,12.4731573555711,0.695133664684149,0.794530395644416,"yes","rsv","1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-03-16,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-03-13, 2024-03-11",112,12.4731573555711,12.4731573555711,0.695133664684149,0.795202627493359,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-03-23,"15001-003-01-00-00",407721.206917361,"261230.21715127, 554212.196683452",1.97531061600389,"2024-03-20, 2024-03-18",119,12.4731573555711,12.4731573555711,0.695133664684149,0.782915122076772,"yes","rsv","1, 2.95062123200778","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-03-30,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-03-27, 2024-03-25",126,12.4731573555711,12.4731573555711,0.695133664684149,0.781363763444415,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-04-06,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-04-03, 2024-04-02",134,12.4731573555711,12.4731573555711,0.695133664684149,0.777893891533508,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-04-13,"15001-003-01-00-00",480826.468130616,"700422.719109962, 261230.21715127",2.56615765814773,"2024-04-10, 2024-04-08",140,12.4731573555711,12.4731573555711,0.695133664684149,0.773075529612646,"no","rsv","4.13231531629547, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-04-20,"15001-003-01-00-00",638908.539532131,"1016586.86191299, 261230.21715127",4.0310333216998,"2024-04-16, 2024-04-15",147,12.4731573555711,12.4731573555711,0.695133664684149,0.762665263583245,"no","rsv","7.06206664339959, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-04-27,"15001-003-01-00-00",3299441.02815249,"6337651.83915371, 261230.21715127",49.6197171335822,"2024-04-24, 2024-04-22",154,12.4731573555711,12.4731573555711,0.695133664684149,0.759016057085341,"no","rsv","98.2394342671644, 1","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_rsv",2024-05-04,"15001-003-01-00-00",513292.181692142,"765354.146233014, 261230.21715127",2.84720853116382,"2024-05-01, 2024-04-29",161,12.4731573555711,12.4731573555711,0.695133664684149,0.837315206655365,"no","rsv","4.69441706232764, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-06-01,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-05-29, 2024-05-28",190,12.4731573555711,12.4731573555711,0.695133664684149,0.827383943426988,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-06-08,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-06-05, 2024-06-03",196,12.4731573555711,12.4731573555711,0.695133664684149,0.821694091710428,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-06-15,"15001-003-01-00-00",579021.28108996,"896812.34502865, 261230.21715127",3.44836841092327,"2024-06-12, 2024-06-10",203,12.4731573555711,12.4731573555711,0.695133664684149,0.815574955528699,"no","rsv","5.89673682184653, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-06-22,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-06-19, 2024-06-17",210,12.4731573555711,12.4731573555711,0.695133664684149,0.808966763571655,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-06-29,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-06-26, 2024-06-24",217,12.4731573555711,12.4731573555711,0.695133664684149,0.802963376607157,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-07-06,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-07-03, 2024-07-01",224,12.4731573555711,12.4731573555711,0.695133664684149,0.796751271455824,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-07-13,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-07-10, 2024-07-08",231,12.4731573555711,12.4731573555711,0.695133664684149,0.790399718005606,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-07-20,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-07-17, 2024-07-15",238,12.4731573555711,12.4731573555711,0.695133664684149,0.78396309076633,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-07-27,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-07-24, 2024-07-22",245,12.4731573555711,12.4731573555711,0.695133664684149,0.777484172989138,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-08-03,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-07-31, 2024-07-29",252,12.4731573555711,12.4731573555711,0.695133664684149,0.770996663726836,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-08-10,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-08-07, 2024-08-05",259,12.4731573555711,12.4731573555711,0.695133664684149,0.764527098025333,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-08-17,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-08-14, 2024-08-12",266,12.4731573555711,12.4731573555711,0.695133664684149,0.758096330143072,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-08-24,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-08-21, 2024-08-19",273,12.4731573555711,12.4731573555711,0.695133664684149,0.751720688081185,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-08-31,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-08-28, 2024-08-26",280,12.4731573555711,12.4731573555711,0.695133664684149,0.745412878566942,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-09-07,"15001-003-01-00-00",261230.21715127,"261230.21715127, 261230.21715127",1,"2024-09-04, 2024-09-03",288,12.4731573555711,12.4731573555711,0.695133664684149,0.739182700957392,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
