"site_id_with_pcr","week_end","site_id","mean_pcr_target_flowpop_lin","all_pcr_target_flowpop_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15001-002-01-00-00_sars-cov-2",2022-07-23,"15001-002-01-00-00",3090888803.74405,"3090888803.74405",26.6686015990624,"2022-07-18",76,21.8517245252481,19.6243217597927,0.678365052466273,NA,"no","sars-cov-2","26.6686015990624","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-07-30,"15001-002-01-00-00",3265123294.99862,"3852007485.32911, 2678239104.66813",29.2411854568879,"2022-07-25, 2022-07-24",82,21.7084253650199,19.6243217597927,0.678365052466273,0.101327807935667,"no","sars-cov-2","36.8920534670197, 21.5903174467562","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-08-06,"15001-002-01-00-00",2134159307.61877,"2837877580.14132, 1430441035.09622",16.0395432823817,"2022-08-01, 2022-07-31",89,21.0812486498189,19.6243217597927,0.678365052466273,0.425183727668666,"no","sars-cov-2","23.5139220307918, 8.56516453397169","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-08-13,"15001-002-01-00-00",1352297477.07104,"1299434660.52853, 1405160293.61354",7.88863967940151,"2022-08-08, 2022-08-07",96,21.0634172212057,19.6243217597927,0.678365052466273,0.419980719767367,"no","sars-cov-2","7.43432450683374, 8.34295485196927","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-08-20,"15001-002-01-00-00",1955121137.70897,"1718336350.12474, 2191905925.2932",13.6459442901458,"2022-08-15, 2022-08-14",103,20.9851951303112,19.6243217597927,0.678365052466273,0.413346065380185,"no","sars-cov-2","11.2236211186844, 16.0682674616072","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-08-27,"15001-002-01-00-00",548844769.547448,"115690052.000742, 981999487.094153",2.56488613785427,"2022-08-23, 2022-08-21",110,20.7051013440112,19.6243217597927,0.678365052466273,0.445296742926359,"no","sars-cov-2","0.210245426072363, 4.91952684963618","CDC_BIOBOT",15001,"Low"
"15001-002-01-00-00_sars-cov-2",2022-09-03,"15001-002-01-00-00",1301233909.30265,"2284161142.02036, 318306676.584929",9.00490732306028,"2022-08-30, 2022-08-29",118,19.578525867794,19.6243217597927,0.678365052466273,1.01490470303879,"no","sars-cov-2","17.0750955387373, 0.934719107383228","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-09-10,"15001-002-01-00-00",1199317550.85152,"644466648.30525, 1754168453.39778",7.10724853044953,"2022-09-07, 2022-09-06",126,19.578525867794,19.6243217597927,0.678365052466273,0.946489374518781,"no","sars-cov-2","2.64416499864416, 11.5703320622549","CDC_BIOBOT",15001,"High"
"15001-002-01-00-00_sars-cov-2",2022-09-17,"15001-002-01-00-00",371658478.365386,"371658478.365386",1.17459386793205,"2022-09-12",132,19.578525867794,19.6243217597927,0.678365052466273,0.958122295167606,"no","sars-cov-2","1.17459386793205","CDC_BIOBOT",15001,"Very Low"
"15001-002-01-00-00_sars-cov-2",2022-10-01,"15001-002-01-00-00",764309937.446947,"875655026.793513, 652964848.10038",3.42523099362866,"2022-09-26, 2022-09-25",145,19.578525867794,19.6243217597927,0.678365052466273,0.940620056798784,"no","sars-cov-2","4.15473804944569, 2.69572393781162","CDC_BIOBOT",15001,"Moderate"
"15001-002-01-00-00_sars-cov-2",2022-10-08,"15001-002-01-00-00",896559755.95845,"696965596.438684, 1096153915.47822",4.37653369245333,"2022-10-03, 2022-10-02",152,19.578525867794,19.6243217597927,0.678365052466273,0.88979015524875,"no","sars-cov-2","2.96773499285929, 5.78533239204736","CDC_BIOBOT",15001,"Moderate"
