"week_end","state_wval","state_level"
2023-11-25,13.8297620402164,"High"
2023-12-02,1,"Very Low"
2023-12-09,1,"Very Low"
2023-12-16,1,"Very Low"
2023-12-23,5.1905913057809,"Low"
2023-12-30,9.41981953665573,"Moderate"
2024-01-06,8.45442337505759,"Moderate"
2024-01-13,3.56192147113048,"Low"
2024-01-20,11.3292289117117,"High"
2024-01-27,10.3291354018693,"Moderate"
2024-02-03,5.5166291007995,"Low"
2024-02-10,1,"Very Low"
2024-02-17,4.37425979798132,"Low"
2024-02-24,5.70697971232657,"Low"
2024-03-02,4.24259441117976,"Low"
2024-03-09,5.5234387007625,"Low"
2024-03-16,3.17138950058403,"Low"
2024-03-23,3.342973330571,"Low"
2024-03-30,2.9421892150928,"Low"
2024-04-06,2.14439864880992,"Very Low"
2024-04-13,1,"Very Low"
2024-04-20,1,"Very Low"
2024-04-27,1,"Very Low"
2024-05-04,1,"Very Low"
2024-06-01,3.85503085274941,"Low"
2024-06-08,1,"Very Low"
2024-06-15,4.03990708395915,"Low"
2024-06-22,1.99879226565322,"Very Low"
2024-06-29,2.23071166010169,"Very Low"
2024-07-06,2.32476726034885,"Very Low"
2024-07-13,2.71998473827281,"Low"
2024-07-20,3.18693447491418,"Low"
2024-07-27,1,"Very Low"
2024-08-03,1,"Very Low"
2024-08-10,1.57891743804628,"Very Low"
2024-08-17,1,"Very Low"
2024-08-24,1,"Very Low"
2024-08-31,1,"Very Low"
2024-09-07,1,"Very Low"
2024-09-14,1,"Very Low"
2024-09-21,1,"Very Low"
2024-09-28,1,"Very Low"
2024-10-05,1,"Very Low"
2024-10-12,1,"Very Low"
2024-10-19,1,"Very Low"
2024-10-26,1,"Very Low"
2024-11-02,1,"Very Low"
2024-11-09,1,"Very Low"
2024-11-16,2.30122832339515,"Very Low"
2024-11-23,1,"Very Low"
2024-11-30,1,"Very Low"
2024-12-07,3.291734714568,"Low"
2024-12-14,9.8789788629776,"Moderate"
2024-12-21,11.6161357928319,"High"
2024-12-28,21.6990324713982,"Very High"
2025-01-04,34.6277882330564,"Very High"
2025-01-11,24.4664327892775,"Very High"
2025-01-18,61.2669377075393,"Very High"
2025-01-25,87.2821443853159,"Very High"
2025-02-01,85.1606434721089,"Very High"
2025-02-08,33.3886287156712,"Very High"
2025-02-15,63.4894978320967,"Very High"
2025-02-22,39.6683456677769,"Very High"
2025-03-01,12.4764080711566,"High"
2025-03-08,14.1026093192539,"High"
2025-03-15,3.46002618105803,"Low"
2025-03-22,2.75585002565457,"Low"
2025-03-29,7.55802007411542,"Moderate"
2025-04-05,7.20583928507801,"Moderate"
2025-04-12,3.49243088302259,"Low"
2025-04-19,4.96802826690354,"Low"
2025-04-26,1.4112226727444,"Very Low"
2025-05-03,1,"Very Low"
2025-05-10,1.56277593893276,"Very Low"
2025-05-17,4.01361531743444,"Low"
2025-05-24,2.12119548538678,"Very Low"
2025-05-31,1.40778560770158,"Very Low"
2025-06-07,1,"Very Low"
2025-06-14,1,"Very Low"
2025-06-21,1,"Very Low"
2025-06-28,1,"Very Low"
2025-07-05,1,"Very Low"
2025-07-12,1,"Very Low"
2025-07-19,1,"Very Low"
2025-07-26,1,"Very Low"
2025-08-02,1,"Very Low"
2025-08-09,1,"Very Low"
2025-08-16,1,"Very Low"
2025-08-23,1,"Very Low"
2025-08-30,1,"Very Low"
2025-09-06,1,"Very Low"
2025-09-13,1,"Very Low"
2025-09-20,1,"Very Low"
2025-09-27,1,"Very Low"
2025-10-04,1,"Very Low"
2025-10-11,1,"Very Low"
2025-10-18,1,"Very Low"
2025-10-25,1,"Very Low"
2025-11-01,1,"Very Low"
2025-11-08,1,"Very Low"
2025-11-15,2.12986250527146,"Very Low"
2025-11-22,1.63494706253934,"Very Low"
2025-11-29,13.7698283562714,"High"
2025-12-06,31.2557814832937,"Very High"
2025-12-13,10.833871084787,"Moderate"
2025-12-20,8.87398177527761,"Moderate"
2025-12-27,7.6347061100957,"Moderate"
2026-01-03,24.7384267932377,"Very High"
2026-01-10,30.6532321679897,"Very High"
2026-01-17,10.413055537359,"Moderate"
2026-01-24,4.95971283509296,"Low"
2026-01-31,4.68666950712597,"Low"
2026-02-07,4.57588628760841,"Low"
2026-02-14,7.74065527373674,"Moderate"
2026-02-21,3.70964222412051,"Low"
2026-02-28,1,"Very Low"
2026-03-07,1,"Very Low"
2026-03-14,1,"Very Low"
2026-03-21,1,"Very Low"
2026-03-28,1,"Very Low"
2026-04-04,1,"Very Low"
2026-04-11,1,"Very Low"
2026-04-18,1,"Very Low"
2024-05-11,1,"Very Low"
2024-05-18,1,"Very Low"
2024-05-25,3.5213881967518,"Low"
