"week_end","state_wval","state_level"
2023-11-25,2.53842730886521,"Low"
2023-12-02,4.59395406416244,"Low"
2023-12-09,3.92646582382079,"Low"
2023-12-16,12.0811557338978,"Very High"
2023-12-23,4.63475303749473,"Low"
2023-12-30,7.11275888663569,"Moderate"
2024-01-06,19.0317327223216,"Very High"
2024-01-13,2.33039594278134,"Very Low"
2024-01-20,2.98669819286485,"Low"
2024-01-27,2.94212217438294,"Low"
2024-02-03,4.08908705017573,"Low"
2024-02-10,4.28058295052762,"Low"
2024-02-17,1,"Very Low"
2024-02-24,7.73128210786006,"Moderate"
2024-03-02,2.01886866774502,"Very Low"
2024-03-09,1,"Very Low"
2024-03-16,1,"Very Low"
2024-03-23,1,"Very Low"
2024-03-30,1,"Very Low"
2024-04-06,1,"Very Low"
2024-04-13,1,"Very Low"
2024-04-20,1,"Very Low"
2024-04-27,1,"Very Low"
2024-05-04,1,"Very Low"
2024-06-01,1,"Very Low"
2024-06-08,1,"Very Low"
2024-06-15,1,"Very Low"
2024-06-22,1,"Very Low"
2024-06-29,1,"Very Low"
2024-07-06,1,"Very Low"
2024-07-13,1,"Very Low"
2024-07-20,1,"Very Low"
2024-07-27,1,"Very Low"
2024-08-03,1,"Very Low"
2024-08-10,1,"Very Low"
2024-08-17,1,"Very Low"
2024-08-24,1,"Very Low"
2024-08-31,1,"Very Low"
2024-09-07,1,"Very Low"
2024-09-14,1,"Very Low"
2024-09-21,1,"Very Low"
2024-09-28,1,"Very Low"
2024-10-05,1,"Very Low"
2024-10-12,1.83613602594588,"Very Low"
2024-10-19,1.9650103618492,"Very Low"
2024-10-26,4.25168304329018,"Low"
2024-11-02,6.11868548539152,"Moderate"
2024-11-09,4.36594746728706,"Low"
2024-11-16,8.25580834644253,"High"
2024-11-23,8.99965364866954,"High"
2024-11-30,6.9202584949677,"Moderate"
2024-12-07,14.3646573325871,"Very High"
2024-12-14,20.7270899745684,"Very High"
2024-12-21,11.8627598829896,"Very High"
2024-12-28,11.9613110471527,"Very High"
2025-01-04,16.5762041528992,"Very High"
2025-01-11,8.67703213716571,"High"
2025-01-18,16.2249287447419,"Very High"
2025-01-25,16.8779736626079,"Very High"
2025-02-01,8.2710159470853,"High"
2025-02-08,14.0982473131347,"Very High"
2025-02-15,10.9381379302625,"High"
2025-02-22,10.1737364000734,"High"
2025-03-01,7.92588959371287,"Moderate"
2025-03-08,6.8628623144858,"Moderate"
2025-03-15,3.66629461949416,"Low"
2025-03-22,4.74061182089991,"Low"
2025-03-29,5.58995103547221,"Moderate"
2025-04-05,2.85709916663134,"Low"
2025-04-12,2.95405371240373,"Low"
2025-04-19,2.09671876214464,"Very Low"
2025-04-26,1,"Very Low"
2025-05-03,1,"Very Low"
2025-05-10,1,"Very Low"
2025-05-17,3.41129851290458,"Low"
2025-05-24,1.72178889915632,"Very Low"
2025-05-31,1,"Very Low"
2025-06-07,1.61298528415276,"Very Low"
2025-06-14,1,"Very Low"
2025-06-21,1,"Very Low"
2025-06-28,1,"Very Low"
2025-07-05,1,"Very Low"
2025-07-12,1,"Very Low"
2025-07-19,1,"Very Low"
2025-07-26,1,"Very Low"
2025-08-02,1,"Very Low"
2025-08-09,1,"Very Low"
2025-08-16,1,"Very Low"
2025-08-23,1,"Very Low"
2025-08-30,1,"Very Low"
2025-09-06,1,"Very Low"
2025-09-13,1,"Very Low"
2025-09-20,1,"Very Low"
2025-09-27,1,"Very Low"
2025-10-04,1,"Very Low"
2025-10-11,1,"Very Low"
2025-10-18,1,"Very Low"
2025-10-25,1.69821733386331,"Very Low"
2025-11-01,1,"Very Low"
2025-11-08,1.84962438573801,"Very Low"
2025-11-15,1.50533639010938,"Very Low"
2025-11-22,1,"Very Low"
2025-11-29,1,"Very Low"
2025-12-06,2.2005008120088,"Very Low"
2025-12-13,3.53300230477072,"Low"
2025-12-20,1.80326091154729,"Very Low"
2025-12-27,1.80312516089004,"Very Low"
2026-01-03,7.60886381278576,"Moderate"
2026-01-10,14.7244941473251,"Very High"
2026-01-17,8.66226304600482,"High"
2026-01-24,7.0547323332636,"Moderate"
2026-01-31,5.56680477065918,"Moderate"
2026-02-07,10.3044925807809,"High"
2026-02-14,12.0283916702529,"Very High"
2026-02-21,13.2846209053489,"Very High"
2026-02-28,3.54517800053321,"Low"
2026-03-07,5.35060463513108,"Moderate"
2026-03-14,9.37880002725921,"High"
2026-03-21,3.65976099392803,"Low"
2026-03-28,4.34184288726398,"Low"
2026-04-04,5.12958755495879,"Low"
2026-04-11,6.93902215379522,"Moderate"
2026-04-18,6.18163079952377,"Moderate"
2024-05-11,1,"Very Low"
2024-05-18,1,"Very Low"
2024-05-25,1,"Very Low"
