"site_id_with_pcr","week_end","site_id","mean_pcr_target_avg_conc_lin","all_pcr_target_avg_conc_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15001-003-01-00-00_rsv",2023-11-25,"15001-003-01-00-00",1371.06774707692,"750, 1992.13549415385",2.5384273088652,"2023-11-22, 2023-11-20",0,7.59696245498488,6.62007320653036,0.695133664684149,NA,"yes","rsv","1, 4.07685461773041","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-02,"15001-003-01-00-00",1992.36683954148,"750, 3234.73367908296",4.59395406416245,"2023-11-29, 2023-11-27",7,6.62007320653036,6.62007320653036,0.695133664684149,0.744495722834163,"yes","rsv","1, 8.1879081283249","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-09,"15001-003-01-00-00",1804.14762841629,"750, 2858.29525683258",3.92646582382078,"2023-12-06, 2023-12-04",14,6.62007320653036,6.62007320653036,0.695133664684149,0.712107719073891,"yes","rsv","1, 6.85293164764156","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-16,"15001-003-01-00-00",3914.71260264253,"6305.72603796079, 1523.69916732428",12.0811557338978,"2023-12-13, 2023-12-11",21,6.62007320653036,6.62007320653036,0.695133664684149,0.646680696946676,"no","rsv","21.3899672200135, 2.77234424778221","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_rsv",2023-12-23,"15001-003-01-00-00",2003.55415116742,"750, 3257.10830233484",4.63475303749472,"2023-12-20, 2023-12-18",28,6.62007320653036,6.62007320653036,0.695133664684149,0.775694890846698,"yes","rsv","1, 8.26950607498945","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2023-12-30,"15001-003-01-00-00",2831.12860348718,"3976.39271657315, 1685.86449040121",7.11275888663572,"2023-12-27, 2023-12-26",36,6.62007320653036,6.62007320653036,0.695133664684149,0.744281545073333,"no","rsv","11.0189960367062, 3.20652173656521","CDC_VERILY",15001,"Moderate"
"15001-003-01-00-00_rsv",2024-01-06,"15001-003-01-00-00",5793.99276822926,"6519.62862892308, 5068.35690753545",19.0317327223216,"2024-01-03, 2024-01-02",43,6.62007320653036,6.62007320653036,0.695133664684149,0.774455892863494,"no","rsv","22.4414961980395, 15.6219692466037","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_rsv",2024-01-13,"15001-003-01-00-00",1299.25381251282,"1848.50762502564, 750",2.33039594278134,"2024-01-10, 2024-01-08",49,6.62007320653036,6.62007320653036,0.695133664684149,0.826409584760729,"no","rsv","3.66079188556268, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-01-20,"15001-003-01-00-00",1518.66353035294,"2287.32706070588, 750",2.98669819286484,"2024-01-17, 2024-01-16",57,6.62007320653036,6.62007320653036,0.695133664684149,0.808308865743173,"no","rsv","4.97339638572969, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-01-27,"15001-003-01-00-00",1504.37330103167,"750, 2258.74660206335",2.94212217438294,"2024-01-24, 2024-01-22",63,6.62007320653036,6.62007320653036,0.695133664684149,0.764557083050994,"yes","rsv","1, 4.88424434876587","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-02-03,"15001-003-01-00-00",1850.96278710106,"750, 2951.92557420211",4.08908705017572,"2024-01-31, 2024-01-29",70,6.62007320653036,6.62007320653036,0.695133664684149,0.760690277084756,"yes","rsv","1, 7.17817410035144","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-02-10,"15001-003-01-00-00",1905.26941120965,"3060.53882241931, 750",4.2805829505276,"2024-02-07, 2024-02-05",77,6.62007320653036,6.62007320653036,0.695133664684149,0.771285079295128,"no","rsv","7.56116590105521, 1","CDC_VERILY",15001,"Low"
"15001-003-01-00-00_rsv",2024-02-17,"15001-003-01-00-00",750,"750, 750",1,"2024-02-14, 2024-02-12",84,6.62007320653036,6.62007320653036,0.695133664684149,0.766661652858427,"yes","rsv","1, 1","CDC_VERILY",15001,"Very Low"
"15001-003-01-00-00_rsv",2024-02-24,"15001-003-01-00-00",5416.16817742383,"4946.87876515234, 5885.45758969533",17.2278249083602,"2024-02-21, 2024-02-20",92,6.62007320653036,6.62007320653036,0.695133664684149,0.792013520270539,"no","rsv","15.0861733075571, 19.3694765091633","CDC_VERILY",15001,"Very High"
"15001-003-01-00-00_rsv",2024-03-02,"15001-003-01-00-00",1615.10373025641,"2480.20746051282, 750",3.29384885352347,"2024-02-28, 2024-02-26",98,6.62007320653036,6.62007320653036,0.695133664684149,0.804227288880361,"no","rsv","5.58769770704694, 1","CDC_VERILY",15001,"Low"
