"site_id_with_pcr","week_end","site_id","mean_pcr_target_avg_conc_lin","all_pcr_target_avg_conc_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15001-002-01-00-00_sars-cov-2",2022-07-23,"15001-002-01-00-00",2551653.06485449,"2551653.06485449",23.6181035485266,"2022-07-18",76,14.7522519678316,12.7112264860798,0.645482845178263,NA,"no","sars-cov-2","23.6181035485266","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-07-30,"15001-002-01-00-00",2769190.45198401,"3179987.15899335, 2358393.74497467",27.060942672035,"2022-07-25, 2022-07-24",82,14.6734913287411,12.7112264860798,0.645482845178263,0.0556921819915394,"no","sars-cov-2","33.2167394860716, 20.9051458579984","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-08-06,"15001-002-01-00-00",1801197.26073806,"2342782.12023607, 1259612.40124005",14.301475582418,"2022-08-01, 2022-07-31",89,14.0463146135401,12.7112264860798,0.645482845178263,0.397210230817524,"no","sars-cov-2","20.6911480602596, 7.91180310457637","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-08-13,"15001-002-01-00-00",1116375.97502166,"1072735.59310817, 1160016.35693514",6.56654970632662,"2022-08-08, 2022-08-07",96,13.9639446637893,12.7112264860798,0.645482845178263,0.409136046883808,"no","sars-cov-2","6.16915605526885, 6.9639433573844","CDC_BIOBOT",15001,"High"
"15001-002-01-00-00_sars-cov-2",2022-08-20,"15001-002-01-00-00",1614031.1606014,"1418555.79176304, 1809506.52943976",11.6894043775994,"2022-08-15, 2022-08-14",103,13.8857225728947,12.7112264860798,0.645482845178263,0.409514560076519,"no","sars-cov-2","9.51109096648698, 13.8677177887119","CDC_BIOBOT",15001,"Very High"
"15001-002-01-00-00_sars-cov-2",2022-08-27,"15001-002-01-00-00",453093.439223273,"95506.7925456542, 810680.085900891",2.07142147387324,"2022-08-23, 2022-08-21",110,13.6056287865948,12.7112264860798,0.645482845178263,0.445942259724047,"no","sars-cov-2","0.145487707728201, 3.99735524001827","CDC_BIOBOT",15001,"Low"
"15001-002-01-00-00_sars-cov-2",2022-09-03,"15001-002-01-00-00",1074220.94536133,"1885666.92260095, 262774.968121704",7.74012456197455,"2022-08-30, 2022-08-29",118,12.4790533103775,12.7112264860798,0.645482845178263,1.01962433063996,"no","sars-cov-2","14.7823558912439, 0.697893232705222","CDC_BIOBOT",15001,"High"
"15001-002-01-00-00_sars-cov-2",2022-09-10,"15001-002-01-00-00",1038356.11216074,"532033.147343453, 1544679.07697802",6.46717845895812,"2022-09-07, 2022-09-06",126,12.4790533103775,12.7112264860798,0.645482845178263,0.951406197890287,"no","sars-cov-2","2.08162367455776, 10.8527332433585","CDC_BIOBOT",15001,"High"
"15001-002-01-00-00_sars-cov-2",2022-09-17,"15001-002-01-00-00",306819.027022726,"306819.027022726",0.887256892850038,"2022-09-12",132,12.4790533103775,12.7112264860798,0.645482845178263,0.96412343854074,"no","sars-cov-2","0.887256892850038","CDC_BIOBOT",15001,"Very Low"
"15001-002-01-00-00_sars-cov-2",2022-10-01,"15001-002-01-00-00",630968.604248351,"722888.455309803, 539048.7531869",2.73564821556692,"2022-09-26, 2022-09-25",145,12.4790533103775,12.7112264860798,0.645482845178263,0.946837603312489,"no","sars-cov-2","3.34699410121332, 2.12430232992051","CDC_BIOBOT",15001,"Low"
"15001-002-01-00-00_sars-cov-2",2022-10-08,"15001-002-01-00-00",740146.150306481,"575373.141245545, 904919.159367418",3.54499095436127,"2022-10-03, 2022-10-02",152,12.4790533103775,12.7112264860798,0.645482845178263,0.895889188809729,"no","sars-cov-2","2.35013517359241, 4.73984673513014","CDC_BIOBOT",15001,"Moderate"
"15001-002-01-00-00_sars-cov-2",2022-10-22,"15001-002-01-00-00",929246.826186483,"1223219.28460362, 635274.367769343",5.15017171876125,"2022-10-17, 2022-10-16",166,12.6340133642273,12.7112264860798,0.645482845178263,0.862115842458517,"no","sars-cov-2","7.5604867944458, 2.7398566430767","CDC_BIOBOT",15001,"Moderate"
"15001-002-01-00-00_sars-cov-2",2022-10-29,"15001-002-01-00-00",978286.905339117,"670019.106320085, 1286554.70435815",5.57548898021138,"2022-10-24, 2022-10-23",173,12.6340133642273,12.7112264860798,0.645482845178263,0.826495073572706,"no","sars-cov-2","2.97546645128013, 8.17551150914262","CDC_BIOBOT",15001,"High"
"15001-002-01-00-00_sars-cov-2",2022-11-05,"15001-002-01-00-00",1028108.33263472,"1055506.97903454, 1000709.68623489",5.77787049683495,"2022-10-31, 2022-10-30",180,12.6340133642273,12.7112264860798,0.645482845178263,0.794579997206253,"no","sars-cov-2","6.01633810326234, 5.53940289040757","CDC_BIOBOT",15001,"High"
"15001-002-01-00-00_sars-cov-2",2022-11-12,"15001-002-01-00-00",476360.081692652,"535708.706283923, 417011.457101381",1.76561119273153,"2022-11-08, 2022-11-06",187,12.6340133642273,12.7112264860798,0.645482845178263,0.778833558497921,"no","sars-cov-2","2.10394523308624, 1.42727715237681","CDC_BIOBOT",15001,"Very Low"
"15001-002-01-00-00_sars-cov-2",2022-11-19,"15001-002-01-00-00",741554.939062018,"679493.805154959, 803616.072969077",3.49221323777826,"2022-11-14, 2022-11-13",194,12.6340133642273,12.7112264860798,0.645482845178263,0.778833558497921,"no","sars-cov-2","3.04090418616457, 3.94352228939195","CDC_BIOBOT",15001,"Moderate"
"15001-002-01-00-00_sars-cov-2",2022-11-26,"15001-002-01-00-00",531547.855393384,"453596.006720276, 609499.704066492",2.09772453539522,"2022-11-21, 2022-11-20",201,12.6340133642273,12.7112264860798,0.645482845178263,0.778833558497921,"no","sars-cov-2","1.62587827783385, 2.56957079295659","CDC_BIOBOT",15001,"Low"
