"week_end","state_wval","state_level"
2022-07-23,13.0120972567945,"Very High"
2022-07-30,6.87551619594299,"High"
2022-08-06,5.90729997209064,"High"
2022-08-13,6.56654970632662,"High"
2022-08-20,4.91813875421907,"Moderate"
2022-08-27,3.89657599937493,"Moderate"
2022-09-03,2.57242380141678,"Low"
2022-09-10,2.94713401167231,"Low"
2022-09-17,1.90868093740378,"Very Low"
2022-10-01,2.73564821556692,"Low"
2022-10-08,1.55984203533201,"Very Low"
2022-10-22,2.7873902780676,"Low"
2022-10-29,3.81342548808883,"Moderate"
2022-11-05,2.91141545541324,"Low"
2022-11-12,1.86515193254003,"Very Low"
2022-11-19,2.40581848027928,"Low"
2022-11-26,1.88171909210038,"Very Low"
2022-12-10,4.24932770510192,"Moderate"
2022-12-17,4.32602779084646,"Moderate"
2023-01-07,4.6484953526074,"Moderate"
2023-01-14,5.05095328709003,"Moderate"
2023-01-21,2.91973276601118,"Low"
2023-01-28,2.51762670472788,"Low"
2023-02-04,2.73682715737492,"Low"
2023-02-11,1.70675139170511,"Very Low"
2023-02-18,1.24314050519568,"Very Low"
2023-02-25,1.12069180425612,"Very Low"
2023-03-04,1.08283016492202,"Very Low"
2023-03-11,1.1654718377445,"Very Low"
2023-03-18,1.94580960796869,"Very Low"
2023-03-25,2.3651296437715,"Low"
2023-04-01,2.41974884362119,"Low"
2023-04-08,2.48238651477467,"Low"
2023-04-15,2.47335399334134,"Low"
2023-04-22,2.39667354743507,"Low"
2023-04-29,1.16402892179196,"Very Low"
2023-05-06,1.6739609922772,"Very Low"
2023-05-13,1.18574313933745,"Very Low"
2023-05-20,1.19866286968824,"Very Low"
2023-05-27,1.30504055385773,"Very Low"
2023-06-03,1.3267611255407,"Very Low"
2023-06-10,2.16535725016266,"Low"
2023-06-17,0.987243001178516,"Very Low"
2023-06-24,1.20993107419046,"Very Low"
2022-06-18,14.727198000178,"Very High"
2022-06-25,13.2732360218744,"Very High"
2022-07-02,13.1615194620312,"Very High"
2022-07-09,12.7529796472365,"Very High"
2022-07-16,13.2544389841758,"Very High"
2022-10-15,3.08606460223209,"Low"
2022-12-03,2.41933129189022,"Low"
2022-12-24,4.30760234081783,"Moderate"
2022-12-31,5.16963775305869,"Moderate"
2023-11-25,6.6437979297502,"High"
2023-12-02,7.6606109775909,"High"
2023-12-09,6.76000615774959,"High"
2023-12-16,8.30838921235427,"Very High"
2023-12-23,8.75523441396439,"Very High"
2023-12-30,13.2112148800835,"Very High"
2024-01-06,11.4906040733402,"Very High"
2024-01-13,11.6598504281768,"Very High"
2024-01-20,7.28118023544712,"High"
2024-01-27,13.1416993526064,"Very High"
2024-02-03,12.5268731690411,"Very High"
2024-02-10,11.5889560377618,"Very High"
2024-02-17,10.7597868118486,"Very High"
2024-02-24,9.87637229594059,"Very High"
2024-03-02,7.17815377145317,"High"
2024-03-09,6.39737068137056,"High"
2024-03-16,4.95260429613004,"Moderate"
2024-03-23,5.05037936686901,"Moderate"
2024-03-30,4.14859180151899,"Moderate"
2024-04-06,4.64893432450416,"Moderate"
2024-04-13,4.12195389644578,"Moderate"
2024-04-20,3.98261940920684,"Moderate"
2024-04-27,5.73814560279106,"High"
2024-05-04,5.05650784999993,"Moderate"
2024-06-01,14.2303257288708,"Very High"
2024-06-08,16.0156972996292,"Very High"
2024-06-15,21.0421674781622,"Very High"
2024-06-22,19.2799781769291,"Very High"
2024-06-29,18.2481209100801,"Very High"
2024-07-06,18.4747159710219,"Very High"
2024-07-13,23.4466087875007,"Very High"
2024-07-20,17.1550857994664,"Very High"
2024-07-27,17.7360269998648,"Very High"
2024-08-03,16.1931873901659,"Very High"
2024-08-10,16.8239850632783,"Very High"
2024-08-17,13.8069554359624,"Very High"
2024-08-24,12.2626285435646,"Very High"
2024-08-31,10.5184405216022,"Very High"
2024-09-07,7.64630673074312,"High"
2024-09-14,6.79927131644601,"High"
2024-09-21,6.71002483322012,"High"
2024-09-28,5.21038654574029,"Moderate"
2024-10-05,4.58472222963581,"Moderate"
2024-10-12,4.91645939730093,"Moderate"
2024-10-19,5.14483386271464,"Moderate"
2024-10-26,3.49389268094902,"Moderate"
2024-11-02,3.28287783964565,"Low"
2024-11-09,3.11417889112791,"Low"
2024-11-16,3.61905381990305,"Moderate"
2024-11-23,2.05284991418218,"Low"
2024-11-30,2.61853513152286,"Low"
2024-12-07,2.6451232426365,"Low"
2024-12-14,3.83265094026256,"Moderate"
2024-12-21,3.6995703370864,"Moderate"
2024-12-28,5.02441672470486,"Moderate"
2025-01-04,5.83626180776202,"High"
2025-01-11,4.33569362586409,"Moderate"
2025-01-18,3.65934358556328,"Moderate"
2025-01-25,4.21621387584072,"Moderate"
2025-02-01,3.2817518755285,"Low"
2025-02-08,3.26210846895061,"Low"
2025-02-15,3.82637770795543,"Moderate"
2025-02-22,3.53217552810084,"Moderate"
2025-03-01,3.25396593087572,"Low"
2025-03-08,4.53650901368311,"Moderate"
2025-03-15,3.63159818742864,"Moderate"
2025-03-22,4.04788038700093,"Moderate"
2025-03-29,3.10644350856341,"Low"
2025-04-05,3.46455201861114,"Moderate"
2025-04-12,4.2752491054831,"Moderate"
2025-04-19,6.14217212756272,"High"
2025-04-26,5.11689151996581,"Moderate"
2025-05-03,5.70978743153697,"High"
2025-05-10,6.9258992233607,"High"
2025-05-17,6.48615718821883,"High"
2025-05-24,5.12479895371611,"Moderate"
2025-05-31,7.86896443106136,"Very High"
2025-06-07,7.10789951691556,"High"
2025-06-14,7.1041162652512,"High"
2025-06-21,9.62962459243772,"Very High"
2025-06-28,8.8022125196504,"Very High"
2025-07-05,8.43391082027214,"Very High"
2025-07-12,12.5668157743382,"Very High"
2025-07-19,11.0486896180102,"Very High"
2025-07-26,11.6513326168906,"Very High"
2025-08-02,13.4576422887223,"Very High"
2025-08-09,14.1231121750602,"Very High"
2025-08-16,13.0696504069549,"Very High"
2025-08-23,11.822383973151,"Very High"
2025-08-30,13.9246022581424,"Very High"
2025-09-06,12.4124302942289,"Very High"
2025-09-13,11.1682327271347,"Very High"
2025-09-20,6.27358839885053,"High"
2025-09-27,5.36131336796118,"High"
2025-10-04,4.86404709173778,"Moderate"
2025-10-11,3.34564854297947,"Low"
2025-10-18,2.58272684115721,"Low"
2025-10-25,2.13752213961972,"Low"
2025-11-01,2.31593857973375,"Low"
2025-11-08,1.20290520873811,"Very Low"
2025-11-15,1.5289304852915,"Very Low"
2025-11-22,1.33079138775354,"Very Low"
2025-11-29,0.998867562055312,"Very Low"
2025-12-06,1.06896314787219,"Very Low"
2025-12-13,1,"Very Low"
2025-12-20,0.978550007528958,"Very Low"
2025-12-27,0.957105766728925,"Very Low"
2026-01-03,1.9507343327043,"Very Low"
2026-01-10,2.00516848338918,"Low"
2026-01-17,1.68573039622833,"Very Low"
2026-01-24,1.59094986625498,"Very Low"
2026-01-31,1.80207042731144,"Very Low"
2026-02-07,1.42352915072774,"Very Low"
2026-02-14,2.3623052544557,"Low"
2026-02-21,2.03375473498139,"Low"
2026-02-28,1,"Very Low"
2026-03-07,1.40524600159027,"Very Low"
2026-03-14,1,"Very Low"
2026-03-21,0.969805479667615,"Very Low"
2026-03-28,0.924914479139169,"Very Low"
2026-04-04,1,"Very Low"
2026-04-11,1,"Very Low"
2026-04-18,1,"Very Low"
2022-06-11,23.9226670514138,"Very High"
2024-05-11,5.76906412479626,"High"
2024-05-18,8.67050490873106,"Very High"
2024-05-25,12.5802691878786,"Very High"
2022-05-07,10.4436902696767,"Very High"
2022-05-14,9.40501881556199,"Very High"
2022-05-21,6.05955647695394,"High"
2022-05-28,13.7599462694456,"Very High"
2022-06-04,6.89292592875175,"High"
